"Horodateur","Quel est l'outil d'IA que vous utilisez le plus souvent?","Pour quelles tâches utilisez-vous l'IA ?","À quelle fréquence utilisez-vous l'IA","L’IA a-t-elle contribué à l’amélioration de vos compétences ?","Quelle IA recommanderiez-vous à vos camarades de classe ?","Pourquoi recommandez-vous cette IA ?"
"2026/05/07 12:18:38 PM UTC+0","ChatGPT","Programmation;Explication  de cours;Apprentissage","Très souvent","3","Claude","Il y a plus de tokens, et pas besoin de lui que tu veux des fichiers téléchargeables."
"2026/05/07 12:23:25 PM UTC+0","ChatGPT","Programmation;Explication  de cours;Apprentissage","Très souvent","4","Claude","efficace"
"2026/05/07 12:40:51 PM UTC+0","ChatGPT","Programmation;Explication  de cours;Apprentissage","Très souvent","3","ChatGPT","Il est intéressant pour tout type de problème "
"2026/05/07 12:54:00 PM UTC+0","ChatGPT","Programmation;Explication  de cours;Apprentissage;","Très souvent","2","Google Gemini","Bien pour les recherches "
"2026/05/07 8:35:23 PM UTC+0","Claude","Programmation","Très souvent","4","Claude","Parce qu’elle est facile à utiliser, donne des réponses rapides et aide à mieux comprendre les cours et les exercices. Elle permet aussi de gagner du temps dans les recherches et les travaux."
"2026/05/07 8:53:05 PM UTC+0","Google Gemini","Programmation;Explication  de cours;Apprentissage","Très souvent","3","Google Gemini","Allé accorde plus de token et elle performante sans les recherches "
"2026/05/07 9:31:54 PM UTC+0","DeepSeek","Programmation","Très souvent","4","DeepSeek","Gratuite"
"2026/05/07 10:34:17 PM UTC+0","Claude","Programmation;Explication  de cours;Apprentissage","Très souvent","4","Claude","Ce qui nourrit particulièrement mon intérêt pour Claude, c’est sa capacité à être personnalisé au travers la création de compétences. Contrairement à un assistant générique, Claude peut être enrichi et adapté selon les besoins spécifiques d’un projet ou d’une équipe."
"2026/05/08 10:28:06 AM UTC+0","Claude","Programmation;Apprentissage","J'y suis accro","4","Claude","Parce que cela propose des solutions optimales "
"2026/05/08 10:28:25 AM UTC+0","ChatGPT","Explication  de cours","Très souvent","5","ChatGPT","Il est bon est texte "
"2026/05/08 10:28:43 AM UTC+0","ChatGPT","Programmation;Explication  de cours;Apprentissage","Très souvent","3","Claude","C’est une référence pour la programmation "
"2026/05/08 10:29:30 AM UTC+0","DeepSeek","Programmation;Explication  de cours;Apprentissage","Très souvent","1","Claude","Elle est la meilleure pour le code"
"2026/05/08 10:31:57 AM UTC+0","Google Gemini","Apprentissage","Souvent","2","Google Gemini","pour une assistance dans l'apprentissage"
"2026/05/08 7:19:46 PM UTC+0","Claude","Programmation;Explication  de cours;Apprentissage","Très souvent","3","Claude","Performances "
"2026/05/08 7:25:41 PM UTC+0","DeepSeek","Explication  de cours;Apprentissage","Très souvent","4","DeepSeek","Elle a une bonne logique de raisonnement "
"2026/05/08 7:47:46 PM UTC+0","Claude","Programmation;Explication  de cours;Apprentissage","Très souvent","4","Claude","Permets un apprentissage rapide "
"2026/05/09 9:21:44 AM UTC+0","Claude","Explication  de cours;Apprentissage","Très souvent","4","Claude","C'est la meilleur "
